message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=4,182127])";"30";"turtlesim3.sim";"1727001754.423804276";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=4,182127])";"30";"turtlesim2.sim";"1727001754.415608010";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=4,182127])";"30";"turtlesim1.sim";"1727001754.410122673";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=4,162346])";"30";"turtlesim3.sim";"1727001754.408096581";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=4,162346])";"30";"turtlesim2.sim";"1727001754.398915040";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=4,162346])";"30";"turtlesim1.sim";"1727001754.393471537";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=4,142564])";"30";"turtlesim3.sim";"1727001754.392557267";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=4,142564])";"30";"turtlesim2.sim";"1727001754.383351893";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=4,142564])";"30";"turtlesim1.sim";"1727001754.377829906";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=4,122783])";"30";"turtlesim3.sim";"1727001754.375860180";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
